order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,,2025-01-04,178,10,443.84,4438.40,Completed,2025-01-08
2,,2025-03-18,88,4,364.84,1459.36,Completed,2025-03-21
3,,2024-02-28,157,3,93.28,279.84,Completed,2024-03-01
4,,2024-09-09,315,9,437.67,3939.03,Completed,2024-09-15
5,,2023-12-24,59,10,370.91,3709.10,Completed,2023-12-28
6,,2023-01-08,355,7,127.92,895.44,Completed,2023-01-14
7,,2024-05-19,63,10,182.05,1820.50,Completed,2024-05-25
8,,2025-08-17,33,8,433.27,3466.16,Completed,2025-08-23
9,,2024-05-10,240,1,31.40,31.40,Completed,2024-05-14
10,,2023-01-03,50,3,66.55,199.65,Pending,
11,,2024-10-31,189,9,234.43,2109.87,Completed,2024-11-03
12,,2023-03-23,16,3,449.92,1349.76,Completed,2023-03-30
13,,2025-07-15,289,2,414.36,828.72,Completed,2025-07-21
14,,2023-04-23,359,8,144.82,1158.56,Cancelled,
15,,2023-07-30,70,4,311.59,1246.36,Completed,2023-08-06
16,,2025-03-12,110,1,241.89,241.89,Cancelled,2025-03-15
17,,2023-04-01,341,6,381.09,2286.54,Completed,2023-04-04
18,,2023-02-10,222,10,237.33,2373.30,Pending,
19,,2025-03-11,472,4,317.99,1271.96,Completed,2025-03-18
20,,2024-05-08,425,3,230.28,690.84,Completed,2024-05-10
21,,2023-02-19,277,7,337.23,2360.61,Pending,
22,,2025-07-27,319,2,355.39,710.78,Completed,2025-07-31
23,,2023-10-05,207,5,86.22,431.10,Cancelled,
24,,2024-07-04,444,9,168.58,1517.22,Completed,2024-07-07
25,,2024-04-03,101,2,426.28,852.56,Cancelled,2024-04-05
26,,2023-04-26,241,5,378.66,1893.30,Completed,2023-04-26
27,,2024-04-20,50,5,66.55,332.75,Completed,2024-04-24
28,,2023-01-26,498,9,231.84,2086.56,Completed,2023-01-27
29,,2023-09-09,156,8,185.64,1485.12,Completed,2023-09-15
30,,2024-05-14,320,5,151.01,755.05,Completed,2024-05-17
31,,2024-09-18,144,10,412.06,4120.60,Completed,2024-09-24
32,,2023-12-30,238,3,334.34,1003.02,Completed,2024-01-05
33,,2023-11-18,351,6,330.22,1981.32,Completed,2023-11-23
34,,2023-07-14,387,3,122.58,367.74,Completed,2023-07-16
35,,2025-07-14,56,7,188.67,1320.69,Completed,2025-07-15
