product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Eco Jacket 1,Clothing,22.25,16.46,457,45
2,Essential Lamp 2,Clothing,299.33,250.63,191,65
3,Classic Yoga Mat 3,Electronics,285.00,160.62,1436,149
4,Eco Drone 4,Groceries,298.73,157.20,13,50
5,Pro Jacket 5,Beauty,146.15,111.64,1563,96
6,Deluxe Headphones 6,Toys,57.38,29.32,1236,77
7,Smart Novel 7,Groceries,272.74,125.67,775,30
8,Essential Novel 8,Beauty,292.89,166.41,93,179
9,Classic Moisturizer 9,Clothing,429.10,216.01,778,81
10,Eco Jacket 10,Home & Garden,191.38,146.63,546,189
11,Ultra Lamp 11,Home & Garden,271.72,204.35,946,107
12,Essential Headphones 12,Sports & Outdoors,345.45,177.17,1589,24
13,Eco Moisturizer 13,Beauty,206.56,170.11,1870,155
14,Classic Blender 14,Sports & Outdoors,331.15,229.08,1872,174
15,Eco Backpack 15,Books,78.41,43.28,1103,77
16,Smart Sneakers 16,Toys,449.92,310.55,449,45
17,Essential Drone 17,Clothing,380.32,192.28,313,170
18,Ultra Lamp 18,Clothing,198.53,121.43,958,145
19,Deluxe Novel 19,Electronics,343.33,276.10,1812,147
20,Eco Novel 20,Beauty,64.65,43.71,929,10
21,Deluxe Lamp 21,Home & Garden,258.75,208.93,1280,86
22,Pro Backpack 22,Sports & Outdoors,84.88,46.26,1104,145
23,Essential Headphones 23,Beauty,249.41,200.84,743,88
24,Classic Jacket 24,Sports & Outdoors,440.21,207.44,175,197
25,Ultra Lamp 25,Home & Garden,72.90,48.11,1125,52
26,Eco Yoga Mat 26,Toys,482.53,230.86,1546,196
27,Smart Sneakers 27,Books,205.50,119.46,764,122
28,Smart Yoga Mat 28,Clothing,131.46,108.38,43,160
29,Pro Headphones 29,Sports & Outdoors,13.51,7.66,120,68
30,Essential Lamp 30,Beauty,44.71,33.75,1370,134
31,Essential Sneakers 31,Home & Garden,364.43,181.14,1180,131
32,Classic Drone 32,Toys,103.29,83.79,882,100
33,Pro Headphones 33,Groceries,433.27,358.89,1338,175
34,Essential Yoga Mat 34,Toys,366.81,194.32,223,73
35,Deluxe Jacket 35,Groceries,78.68,61.10,947,73
36,Eco Lamp 36,Groceries,405.92,206.05,200,22
37,Essential Drone 37,Electronics,484.80,232.44,1738,70
38,Essential Drone 38,Groceries,245.86,123.95,1848,25
39,Ultra Drone 39,Electronics,492.79,366.60,1605,126
40,Smart Lamp 40,Groceries,85.84,62.78,1983,24
41,Smart Lamp 41,Electronics,376.50,311.41,1196,132
42,Pro Backpack 42,Home & Garden,37.86,24.49,1743,57
43,Essential Backpack 43,Clothing,340.84,257.65,245,155
44,Smart Moisturizer 44,Electronics,313.49,213.90,1195,154
45,Classic Blender 45,Books,110.08,62.03,488,77
46,Pro Sneakers 46,Books,234.03,111.96,1916,28
47,Ultra Jacket 47,Clothing,45.89,35.09,543,43
48,Eco Novel 48,Sports & Outdoors,191.06,150.34,1707,149
49,Pro Blender 49,Electronics,337.24,211.84,1908,179
50,Ultra Novel 50,Books,66.55,53.72,1133,49
51,Smart Sneakers 51,Sports & Outdoors,361.62,277.93,1298,77
52,Classic Novel 52,Books,453.60,232.05,189,172
53,Essential Sneakers 53,Electronics,11.73,6.35,1304,77
54,Essential Lamp 54,Toys,284.83,229.36,1935,186
55,Essential Headphones 55,Electronics,418.94,258.49,303,120
56,Ultra Yoga Mat 56,Books,188.67,89.95,1991,20
57,Smart Blender 57,Sports & Outdoors,336.79,238.62,1146,114
58,Classic Headphones 58,Sports & Outdoors,433.65,199.27,1660,55
59,Deluxe Yoga Mat 59,Home & Garden,370.91,265.99,1906,115
60,Deluxe Sneakers 60,Books,88.00,50.11,783,19
61,Deluxe Yoga Mat 61,Sports & Outdoors,107.78,52.02,716,88
62,Deluxe Jacket 62,Sports & Outdoors,21.59,16.68,672,81
63,Ultra Headphones 63,Books,182.05,117.65,1391,147
64,Pro Jacket 64,Clothing,439.74,327.83,1189,77
65,Smart Jacket 65,Toys,179.38,96.04,893,165
66,Classic Headphones 66,Toys,450.75,348.86,90,191
67,Smart Moisturizer 67,Sports & Outdoors,188.46,154.91,1360,94
68,Classic Moisturizer 68,Clothing,362.67,264.70,633,180
69,Eco Drone 69,Toys,351.62,220.90,392,117
70,Ultra Novel 70,Home & Garden,311.59,227.34,1122,10
71,Classic Sneakers 71,Sports & Outdoors,220.64,136.35,1340,92
72,Essential Jacket 72,Groceries,341.05,220.16,1625,198
73,Deluxe Yoga Mat 73,Books,262.56,156.70,686,33
74,Essential Sneakers 74,Books,120.06,92.49,50,21
75,Eco Drone 75,Clothing,233.14,115.53,1178,59
76,Deluxe Jacket 76,Groceries,205.82,162.80,1408,11
77,Classic Headphones 77,Toys,117.22,61.94,1425,142
78,Eco Lamp 78,Sports & Outdoors,459.55,368.31,273,128
79,Smart Drone 79,Beauty,475.51,234.63,1254,194
80,Ultra Yoga Mat 80,Groceries,449.62,248.43,972,125
81,Ultra Sneakers 81,Books,385.24,247.12,1283,71
82,Smart Jacket 82,Clothing,359.63,271.95,687,91
83,Essential Jacket 83,Home & Garden,83.90,58.46,312,190
84,Essential Drone 84,Toys,209.71,132.74,851,25
85,Deluxe Backpack 85,Toys,453.36,279.44,1424,15
86,Deluxe Drone 86,Toys,243.71,115.25,611,109
87,Classic Moisturizer 87,Sports & Outdoors,249.22,184.63,994,17
88,Smart Lamp 88,Toys,364.84,187.45,1883,42
89,Pro Drone 89,Electronics,454.39,278.65,1357,16
90,Ultra Yoga Mat 90,Home & Garden,434.75,337.93,532,107
91,Deluxe Drone 91,Groceries,170.14,92.82,776,81
92,Pro Moisturizer 92,Books,419.10,277.39,1534,148
93,Deluxe Headphones 93,Sports & Outdoors,328.56,176.60,1334,20
94,Essential Sneakers 94,Sports & Outdoors,107.68,90.65,312,71
95,Deluxe Moisturizer 95,Clothing,286.34,218.42,1432,75
96,Deluxe Blender 96,Home & Garden,306.88,142.55,1471,39
97,Eco Drone 97,Books,62.96,52.87,638,157
98,Deluxe Yoga Mat 98,Toys,471.31,363.22,1212,186
99,Deluxe Jacket 99,Clothing,351.61,256.46,1401,163
100,Smart Moisturizer 100,Electronics,180.12,122.24,758,27
101,Ultra Sneakers 101,Electronics,426.28,222.12,216,120
102,Ultra Backpack 102,Home & Garden,223.38,124.31,1977,176
103,Ultra Yoga Mat 103,Groceries,237.78,123.57,1213,78
104,Smart Backpack 104,Clothing,146.66,98.22,1536,128
105,Classic Yoga Mat 105,Toys,174.82,114.03,665,56
106,Eco Novel 106,Beauty,400.93,286.21,1802,162
107,Classic Sneakers 107,Electronics,263.14,203.56,494,194
108,Deluxe Headphones 108,Sports & Outdoors,348.39,206.12,1005,124
109,Eco Backpack 109,Clothing,154.17,106.10,498,88
110,Smart Moisturizer 110,Beauty,241.89,154.24,871,200
111,Pro Yoga Mat 111,Beauty,354.39,262.83,514,69
112,Essential Yoga Mat 112,Beauty,68.57,43.59,1560,186
113,Smart Novel 113,Sports & Outdoors,371.91,274.99,1207,144
114,Ultra Headphones 114,Clothing,417.98,305.75,739,55
115,Eco Blender 115,Home & Garden,144.40,66.47,1133,84
116,Classic Sneakers 116,Groceries,60.26,50.92,582,130
117,Pro Jacket 117,Beauty,100.33,83.22,1927,132
118,Essential Blender 118,Toys,250.95,155.38,1405,23
119,Smart Backpack 119,Books,51.73,38.83,1142,116
120,Ultra Backpack 120,Sports & Outdoors,390.08,272.22,1860,123
121,Pro Yoga Mat 121,Toys,159.63,96.03,1248,199
122,Smart Jacket 122,Sports & Outdoors,139.67,114.18,491,54
123,Ultra Headphones 123,Home & Garden,11.30,7.57,1216,130
124,Pro Yoga Mat 124,Sports & Outdoors,151.16,111.39,1760,126
125,Classic Jacket 125,Books,396.03,237.61,1354,60
126,Pro Headphones 126,Sports & Outdoors,327.33,159.29,1692,46
127,Ultra Sneakers 127,Home & Garden,398.38,243.80,1688,155
128,Smart Lamp 128,Clothing,239.65,174.55,824,79
129,Eco Moisturizer 129,Groceries,224.49,137.12,1821,120
130,Smart Headphones 130,Books,22.66,17.19,1380,157
131,Smart Sneakers 131,Books,292.35,159.26,358,130
132,Pro Sneakers 132,Books,98.92,60.92,1300,135
133,Ultra Drone 133,Beauty,210.08,151.59,214,51
134,Pro Sneakers 134,Groceries,151.22,71.36,1666,150
135,Deluxe Lamp 135,Clothing,164.10,118.27,1986,113
136,Essential Lamp 136,Electronics,332.24,210.30,846,23
137,Essential Novel 137,Beauty,315.08,204.99,905,23
138,Pro Headphones 138,Home & Garden,464.55,313.46,1430,134
139,Classic Jacket 139,Sports & Outdoors,357.78,259.64,28,151
140,Eco Blender 140,Sports & Outdoors,496.20,240.57,945,40
141,Classic Sneakers 141,Groceries,466.99,342.42,1444,79
142,Smart Lamp 142,Groceries,129.42,81.47,785,58
143,Ultra Lamp 143,Home & Garden,433.36,320.47,1617,116
144,Smart Sneakers 144,Books,412.06,303.63,611,160
145,Deluxe Lamp 145,Home & Garden,228.80,150.15,680,151
146,Essential Backpack 146,Toys,233.11,168.14,386,188
147,Eco Sneakers 147,Toys,124.44,67.17,89,91
148,Essential Sneakers 148,Toys,199.17,116.42,1680,176
149,Deluxe Sneakers 149,Electronics,71.85,33.33,679,35
150,Classic Blender 150,Clothing,267.71,178.62,1479,46
151,Eco Drone 151,Clothing,240.04,110.98,693,169
152,Classic Moisturizer 152,Clothing,427.35,217.55,1759,146
153,Eco Novel 153,Groceries,437.46,365.56,140,70
154,Eco Jacket 154,Sports & Outdoors,375.91,254.27,201,172
155,Ultra Headphones 155,Groceries,91.51,66.82,59,21
156,Classic Backpack 156,Books,185.64,125.81,500,145
157,Smart Yoga Mat 157,Home & Garden,93.28,76.34,1783,107
158,Ultra Sneakers 158,Groceries,457.28,362.51,944,173
159,Eco Lamp 159,Books,336.74,165.15,952,83
160,Eco Drone 160,Home & Garden,46.18,21.79,1203,86
161,Pro Yoga Mat 161,Books,233.84,170.50,787,133
162,Pro Drone 162,Toys,290.23,179.97,1432,85
163,Pro Backpack 163,Books,13.96,7.03,1593,200
164,Smart Moisturizer 164,Groceries,418.08,204.37,1588,68
165,Deluxe Blender 165,Sports & Outdoors,321.93,193.69,1388,194
166,Pro Backpack 166,Clothing,452.66,267.73,632,122
167,Eco Drone 167,Beauty,368.85,300.22,604,93
168,Smart Lamp 168,Home & Garden,108.38,58.03,1794,103
169,Deluxe Novel 169,Books,416.92,311.53,1688,133
170,Deluxe Yoga Mat 170,Beauty,404.06,267.76,154,46
171,Deluxe Drone 171,Toys,483.95,255.61,749,33
172,Eco Novel 172,Electronics,139.57,111.74,754,182
173,Essential Sneakers 173,Toys,412.97,195.70,221,182
174,Essential Jacket 174,Electronics,313.57,148.23,671,166
175,Essential Headphones 175,Groceries,455.59,332.18,836,39
176,Smart Blender 176,Electronics,159.13,103.90,199,70
177,Smart Drone 177,Toys,232.28,135.14,1521,188
178,Smart Drone 178,Home & Garden,443.84,260.99,1707,135
179,Essential Moisturizer 179,Books,26.02,18.26,908,123
180,Ultra Headphones 180,Clothing,490.64,344.96,1846,175
181,Pro Yoga Mat 181,Toys,145.17,67.17,1943,126
182,Essential Jacket 182,Electronics,34.77,24.92,257,154
183,Deluxe Blender 183,Sports & Outdoors,297.32,156.03,477,94
184,Ultra Blender 184,Electronics,145.85,66.57,266,148
185,Deluxe Yoga Mat 185,Clothing,333.91,280.38,30,101
186,Classic Lamp 186,Beauty,17.72,13.18,259,199
187,Smart Backpack 187,Clothing,375.37,247.55,1593,102
188,Eco Lamp 188,Clothing,231.47,176.24,1259,21
189,Deluxe Drone 189,Books,234.43,108.87,124,132
190,Pro Jacket 190,Toys,346.18,226.36,1863,123
191,Eco Backpack 191,Beauty,308.06,253.75,563,169
192,Smart Backpack 192,Beauty,196.63,120.15,603,126
193,Eco Lamp 193,Toys,58.59,33.35,1746,177
194,Deluxe Sneakers 194,Sports & Outdoors,220.72,109.21,847,96
195,Eco Novel 195,Toys,213.82,173.62,874,90
196,Pro Jacket 196,Beauty,477.25,274.55,971,27
197,Smart Headphones 197,Clothing,221.61,122.36,763,43
198,Deluxe Drone 198,Beauty,338.30,231.96,1789,180
199,Smart Lamp 199,Electronics,484.51,295.47,720,36
200,Ultra Lamp 200,Sports & Outdoors,85.81,56.39,1735,37
201,Deluxe Lamp 201,Beauty,66.28,48.96,463,119
202,Pro Blender 202,Electronics,308.40,180.99,1420,78
203,Pro Blender 203,Books,354.31,257.37,695,99
204,Eco Headphones 204,Home & Garden,287.49,198.28,290,199
205,Ultra Blender 205,Clothing,375.58,286.93,859,126
206,Smart Jacket 206,Beauty,162.69,117.18,1928,155
207,Pro Novel 207,Electronics,86.22,47.27,101,182
208,Ultra Yoga Mat 208,Groceries,334.34,219.24,905,116
209,Smart Sneakers 209,Clothing,179.12,144.31,1388,183
210,Pro Yoga Mat 210,Books,32.24,22.31,1227,24
211,Ultra Moisturizer 211,Books,473.20,256.98,1565,75
212,Classic Lamp 212,Clothing,13.78,7.59,359,43
213,Pro Drone 213,Sports & Outdoors,255.12,131.81,1651,100
214,Smart Drone 214,Electronics,223.74,149.03,159,90
215,Pro Moisturizer 215,Toys,357.64,244.24,235,113
216,Ultra Jacket 216,Home & Garden,402.64,242.69,1703,186
217,Smart Jacket 217,Toys,423.79,318.97,1206,112
218,Deluxe Blender 218,Toys,436.55,240.83,453,95
219,Deluxe Moisturizer 219,Clothing,260.13,209.24,1044,59
220,Essential Jacket 220,Beauty,366.41,191.42,1669,47
221,Pro Blender 221,Home & Garden,135.41,105.70,313,177
222,Eco Backpack 222,Groceries,237.33,148.21,1186,124
223,Pro Sneakers 223,Beauty,433.47,259.70,309,122
224,Ultra Lamp 224,Groceries,319.37,169.73,1211,24
225,Deluxe Novel 225,Clothing,162.09,108.48,116,104
226,Smart Lamp 226,Clothing,325.88,149.59,184,167
227,Pro Sneakers 227,Toys,236.72,148.72,1621,199
228,Classic Jacket 228,Sports & Outdoors,167.54,110.53,308,25
229,Pro Yoga Mat 229,Beauty,491.36,401.08,1323,54
230,Ultra Moisturizer 230,Groceries,495.57,317.35,1248,50
231,Pro Moisturizer 231,Books,199.82,107.95,1390,163
232,Ultra Backpack 232,Clothing,171.54,107.52,791,82
